date,headline,sentiment
2025-02-18 14:48:25,SHIB’s Bearish Movement Paves The Way For Cutoshi’s Deflationary Tokenomics To Disrupt The Market,neutral
2025-02-18 14:45:58,Bitcoin and Ethereum Predictions: Market Uncertainty Looms,bearish
2025-02-18 14:34:13,"FTX Begins $16 Billion Creditor Repayments on February 18, 2025, with Initial $1.2 Billion for Claims Under $50,000 and $2.06 Billion in SOL Unlocking March 1",neutral
2025-02-18 14:34:13,"Abu Dhabi's Mubadala Invests $437 Million in BlackRock's Bitcoin ETF, Joining Goldman Sachs' $1.5 Billion Holdings Amid $581 Million Outflow",neutral
2025-02-18 14:34:13,"$725 Billion Bernstein Suggests U.S. Fund Strategic Bitcoin Reserve by Selling Gold, Triggering Global Race",neutral
2025-02-18 14:30:58,Google Is Reportedly Advancing Integration of Its Login With Bitcoin Wallets,neutral
2025-02-18 14:30:49,"US Markets Open:
NASDAQ: +0.38%
S&P 500: +0.14%
DOW: -0.05%
BTC: +0.78%

💰Coin:
BTC ( $BTC ) $96,571.40",neutral
2025-02-18 14:26:32,"Crypto Market 2025: Expert Forecasts Smaller Downside for Bitcoin, But Altcoins Could Drop 95%",bearish
2025-02-18 14:17:35,CoinDesk 20 Performance Update: APT Drops 5.6% as Index Trades Lower From Monday,bearish
2025-02-18 14:14:24,"XRP Price Hit New Highs Last 2 Times This Indicator Flashed Buy Signal, Will History Rhyme?",neutral
2025-02-18 14:08:29,Strategy Suddenly Stops Buying Bitcoin,bearish
2025-02-18 14:01:44,Options Analysts Suggest Short-Term Price Range for Bitcoin Amid Market Uncertainties,bearish
2025-02-18 14:00:47,Bitcoin’s $500K Roadmap: Why XRP and These 5 Cryptos Are Must-Have Investments!,neutral
2025-02-18 14:00:35,"Bitcoin options traders chase $110K, but roadblocks lie ahead",neutral
2025-02-18 14:00:03,"FTX Payouts Begin Today, Will Bitcoin Price Rally Or Crash In Response?",bearish
2025-02-18 14:00:03,"Grayscale Rolls Out Crypto Fund for Pyth, Expanding Investor Access in Solana Ecosystem",neutral
2025-02-18 14:00:00,XRP ETF Inches Closer to Reality as MEMX Seeks SEC Approval,bullish
2025-02-18 13:59:20,Mastering Bitcoin On-Chain Data,neutral
2025-02-18 13:57:55,Strategy didn't sell shares or buy bitcoin last week,bearish
2025-02-18 13:55:37,XRP Detailed Analysis Updated: Most Important Resistance Zone In History,bullish
2025-02-18 13:55:04,"Geoffrey Kendrick Predicts Bitcoin Surge to $500,000 as Sovereign Wealth Funds Invest Following Abu Dhabi BlackRock ETF",bullish
