date,headline,sentiment
2025-02-24 08:13:11,"Nvidia Earnings, Inflation: What to Watch This Week",neutral
2025-02-22 00:01:33,"Cramer's week ahead: Earnings from Nvidia, Dell and Home Depot",neutral
2025-02-18 23:56:19,"Trump tariffs, Musk's DOGE role and AI are among the top concerns shared by CEOs, Cramer says",bullish
2025-02-19 16:00:01,AI startup Baseten raises $75 million following DeepSeek's emergence,neutral
2025-02-19 14:20:08,"Trump suggests 25% tariffs on autos, pharma and semiconductors that could go even higher",neutral
2025-02-18 08:01:03,"Musk’s xAI releases artificial intelligence model Grok 3, claims better performance than rivals in early testing",bullish
2025-02-19 14:00:31,Jim Cramer's top 10 things to watch in the stock market Wednesday,bullish
2025-02-24 12:45:32,5 things to know before the stock market opens Monday,neutral
2025-02-19 16:00:01,AI health-care startup OpenEvidence raises funding from Sequoia at $1 billion valuation,neutral
2025-02-20 15:57:17,OpenAI tops 400 million users despite DeepSeek's emergence,bullish
2025-02-20 18:59:20,"Palantir shares drop 7%, falling for a second day, as retail traders' latest cult obsession starts to unwind",bearish
2025-02-24 02:13:53,Here's my strategy for the stock market this week after Friday's brutal sell-off,bearish
2025-02-20 15:06:12,Here are our top 5 performing stocks during a topsy-turvy market over the past month,bullish
2025-02-24 13:00:01,Top tech companies turn to hydrogen and nuclear energy for AI data centers,bullish
2025-02-18 00:11:55,Here are 10 stocks that recently went public with staying power,neutral
2025-02-24 10:56:01,Lan Guan,neutral
2025-02-19 01:08:00,China’s DeepSeek has taken the world by storm. Here are the brains powering the AI sensation,neutral
2025-02-21 19:00:31,Apple’s Vision Pro has a problem a year into its existence: Not enough apps,bearish
2025-02-20 23:08:12,Stock market today: Live updates,neutral
